 Kello      Hinta   M‰‰r‰  Ostaja   Myyj‰
 18:41:33    8.78  280000     CAR     CAR
 18:41:14    8.64    4472     CAR     CAR
 18:41:01    8.65   20000     CAR     CAR
 18:40:48    8.74   15000     CAR     CAR
 18:23:29    8.90      50     EPB     NRD
 18:23:29    8.90   20000     EPB     MLI
 18:23:29    8.90     200     EPB     NRD
 18:23:29    8.90   20000     EPB     MLI
 18:23:29    8.90    3665     EPB     MSI
 18:23:29    8.90   21335     UBS     MSI
 18:23:29    8.90   20000     UBS     ENS
 18:23:29    8.90   25000     UBS     MSI
 18:23:29    8.90   10000     UBS     MLI
 18:23:29    8.90   20000     UBS     CDV
 18:23:29    8.90    5000     UBS     EVL
 18:23:29    8.90   21381     UBS     SGP
 18:23:29    8.90     500     NON     NON
 18:23:29    8.90    1000     MSI     MSI
 18:23:29    8.90   25400     UBS     UBS
 18:23:29    8.90    6000     UBS     UBS
 18:23:29    8.90    7988      UB     SGP
 18:23:29    8.90     100      UB     MSI
 18:23:29    8.90    1500      UB     EQB
 18:23:29    8.90     400      UB     NON
 18:23:29    8.90   10012      UB     EQB
 18:23:29    8.90    2988     EQB     EQB
 18:23:29    8.90    2012     EQB     CBK
 18:23:29    8.90    8988     EQB     CBK
 18:23:29    8.90    1012     EQB     MSI
 18:23:29    8.90   10000     MLI     MSI
 18:23:29    8.90    5000     EQB     MSI
 18:23:29    8.90    1892     NRD     MSI
 18:23:29    8.90   28108     NRD     BPP
 18:23:29    8.90   21892     GSI     BPP
 18:23:29    8.90   20465     GSI     MSI
 18:23:29    8.90   14043     GSI     MSI
 18:23:29    8.90    6127     INT     MSI
 18:23:29    8.90    3873     INT     MLI
 18:23:29    8.90    6127     INT     MLI
 18:23:29    8.90    3873     INT     DDB
 18:23:29    8.90     774     INT     DDB
 18:23:29    8.90    9226     INT     NRD
 18:23:29    8.90   10000     INT     NRD
 18:23:29    8.90   10000     INT     NRD
 18:23:29    8.90     774     HQD     NRD
 18:23:29    8.90    9226     HQD     SHB
 18:23:29    8.90     240     OPS     SHB
 18:23:29    8.90      50     OPS     SHB
 18:23:29    8.90    1142     SGP     SHB
 18:23:29    8.90     231     GSI     SHB
 18:23:29    8.90     205     OPS     SHB
 18:23:29    8.90    3906     GSI     SHB
 18:23:29    8.90    5802     GSI     MSI
 18:23:29    8.90    4565     GSI     MSI
 18:23:29    8.90    4499     GSI     MSI
 18:23:29    8.90   20000     GSI     NON
 18:23:29    8.90   10602     GSI     MSI
 18:23:29    8.90   11576     GSI     BPP
 18:23:29    8.90   10000     EVL     BPP
 18:23:29    8.90   28424     MSI     BPP
 18:23:29    8.90    9284     MSI     MSI
 18:23:29    8.90    9150     MSI     MSI
 18:23:29    8.90   53142     MSI     GSI
 18:23:29    8.90   10000     EVL     GSI
 18:23:29    8.90   50000     ABC     GSI
 18:23:29    8.90    2927     MLI     GSI
 18:23:29    8.90    2000     FIM     GSI
 18:23:29    8.90   50000     BPP     GSI
 18:23:29    8.90  390000     MLI     GSI
 18:23:29    8.90     465     MSI     GSI
 18:23:29    8.90     464     MSI     GSI
 18:23:29    8.90   25000     EQB     GSI
 18:23:29    8.90    1000     FIM     GSI
 18:23:29    8.90   10000     ENS     GSI
 18:23:29    8.90    8000     EQB     GSI
 18:23:29    8.90   16669     SGP     GSI
 18:23:29    8.90   30000     SGP     CDV
 18:23:29    8.90   20041     SGP     CSB
 18:23:29    8.90    2100     SGP     NRD
 18:23:29    8.90    2424     SGP     ENS
 18:23:29    8.90    7384     SGP     CSB
 18:23:29    8.90   10000     SGP     DIF
 18:23:29    8.90   67644     SGP     VDM
 18:23:29    8.90    1807     SGP     DBL
 18:23:29    8.90    5600     SGP     GSI
 18:23:29    8.90   65000     SGP     CSB
 18:23:29    8.90    8874     SGP     GSI
 18:23:29    8.90    1794     SGP     DBL
 18:23:29    8.90    1708     SGP     CDV
 18:23:29    8.90     100     SGP     SGP
 18:23:29    8.90    7918     SGP     GSI
 18:23:29    8.90    1119     SGP     CDV
 18:23:29    8.90      12     SGP     CDV
 18:23:29    8.90    4485     SGP     JPM
 18:23:29    8.90   40300     SGP     MLI
 18:23:29    8.90    1500     SGP     MLI
 18:23:29    8.90   13402     SGP     MLI
 18:23:29    8.90   19600     SGP     MLI
 18:23:29    8.90   61849     SGP     MLI
 18:23:29    8.90     628     SGP     MLI
 18:23:29    8.90     988     SGP     MLI
 18:23:29    8.90    7052     SGP     NIP
 18:23:29    8.90    2978     SGP     NIP
 18:23:29    8.90   26499     SGP     GSI
 18:23:29    8.90    2032     BPP     GSI
 18:23:29    8.90       4     CDV     GSI
 18:23:29    8.90    4825     DBL     GSI
 18:23:29    8.90    9183     SGP     GSI
 18:23:29    8.90   26283     SGP     NIP
 18:23:29    8.90   89000     SGP     MLI
 18:23:29    8.90    2313     SGP     EVL
 18:23:29    8.90    6502     SGP     EVL
 18:23:29    8.90   24600     SGP     CDV
 18:23:29    8.90    2313     SGP     CDV
 18:23:29    8.90    2538     MLI     CDV
 18:23:29    8.90    3240     MLI     ABN
 18:23:29    8.90    2379     MLI     ABN
 18:23:29    8.90    1963     MLI     ABN
 18:23:29    8.90    4000     MLI     ABN
 18:23:29    8.90   19718     MLI     ABN
 18:23:29    8.90     751     MLI     BPP
 18:23:29    8.90   30422     MLI     BPP
 18:23:29    8.90    3362     SGP     BPP
 18:23:29    8.90    1532     SGP     BPP
 18:23:29    8.90    2104     SGP     CSB
 18:23:29    8.90   18067     SGP     SAB
 18:23:29    8.90    4366     SGP     SAB
 18:23:29    8.90   70000     SGP     SAB
 18:23:29    8.90   50569     SGP     SGP
 18:23:29    8.90    2935     NIP     SGP
 18:23:29    8.90    5920     NIP     SGP
 18:23:29    8.90   18500     SGP     SGP
 18:23:29    8.90    2577     CSB     SGP
 18:23:29    8.90   79499     CSB     SGP
 18:23:29    8.90    8338     CSB     OPS
 18:23:29    8.90   23595     CSB     CDV
 18:23:29    8.90    7620     CSB     BPP
 18:23:29    8.90   33584     CSB     GSI
 18:23:29    8.90    3990     CSB     NEO
 18:23:29    8.90    2654     CSB     SGP
 18:23:29    8.90    2314     CSB     SGP
 18:23:29    8.90    3441     EVL     SGP
 18:23:29    8.90   24495     DBL     SGP
 18:23:29    8.90   18695     JPM     SGP
 18:23:29    8.90    6486     JPM     GSI
 18:23:29    8.90   47057     JPM     JPM
 18:23:29    8.90    5804     CDV     JPM
 18:23:29    8.90     461     BPP     JPM
 18:23:29    8.90    1871     BPP     JPM
 18:23:29    8.90    7368     SAB     JPM
 18:23:29    8.90   28728     SAB     JPM
 18:23:29    8.90   30722     SAB     NRD
 18:23:29    8.90    1242     SAB     NRD
 18:23:29    8.90    1263     SAB     NRD
 18:23:29    8.90   48386     GSI     NRD
 18:23:29    8.90   31987     GSI     NRD
 18:23:29    8.90   26438     GSI     NRD
